Date,SPY - Close,SPY - Volume,US New Daily Cases,US New Daily Deaths,US New Daily Tests,China New Daily Cases,China New Daily Deaths,US Unemployment Rate (%),US Quarterly GDP,Sitting President,Senate Majority Party,VIX - Open,VIX - Close,Season
7/15/13,168.149994,69450600,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.98,13.79,Summer
7/16/13,167.520004,88702100,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.78,14.42,Summer
7/17/13,167.949997,92873900,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,14.2,13.78,Summer
7/18/13,168.869995,103620100,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.63,13.77,Summer
7/19/13,169.169998,103831700,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.89,12.54,Summer
7/22/13,169.5,79428600,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.23,12.29,Summer
7/23/13,169.139999,80829700,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,12.15,12.66,Summer
7/24/13,168.520004,112914000,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,12.69,13.18,Summer
7/25/13,168.929993,111088600,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.47,12.97,Summer
7/26/13,169.110001,107814600,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.41,12.72,Summer
7/29/13,168.589996,79695000,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.54,13.39,Summer
7/30/13,168.589996,85209600,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.45,13.39,Summer
7/31/13,168.710007,142388700,0,0,0,0,0,7.3,16848.748,Barack Obama,Democrat,13.55,13.45,Summer
8/1/13,170.660004,110438400,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.89,12.94,Summer
8/2/13,170.949997,91116700,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.66,11.98,Summer
8/5/13,170.699997,54072700,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.29,11.84,Summer
8/6/13,169.729996,87495000,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.19,12.72,Summer
8/7/13,169.179993,84854700,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,13.17,12.98,Summer
8/8/13,169.800003,102181300,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.5,12.73,Summer
8/9/13,169.309998,91757700,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.88,13.41,Summer
8/12/13,169.110001,68593300,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,13.52,12.81,Summer
8/13/13,169.610001,80806000,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.86,12.31,Summer
8/14/13,168.740005,79829200,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,12.48,13.04,Summer
8/15/13,166.380005,152931800,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.14,14.73,Summer
8/16/13,165.830002,130868200,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.56,14.37,Summer
8/19/13,164.770004,96437600,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.94,15.1,Summer
8/20/13,165.580002,89294400,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,15.22,14.91,Summer
8/21/13,164.559998,159530500,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16,15.94,Summer
8/22/13,166.059998,101471400,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,15.26,14.76,Summer
8/23/13,166.619995,90888900,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.29,13.98,Summer
8/26/13,166,89702100,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.37,14.99,Summer
8/27/13,163.330002,158619400,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.559999,16.77,Summer
8/28/13,163.910004,108113000,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.959999,16.49,Summer
8/29/13,164.169998,119200500,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.790001,16.809999,Summer
8/30/13,163.649994,134928900,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.75,17.01,Summer
9/3/13,164.389999,142375100,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.469999,16.610001,Summer
9/4/13,165.75,97389400,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.879999,15.88,Summer
9/5/13,165.960007,63090500,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,16.120001,15.77,Summer
9/6/13,166.039993,159756500,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,15.35,15.85,Summer
9/9/13,167.630005,87559300,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,15.86,15.63,Summer
9/10/13,168.869995,105847200,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.89,14.53,Summer
9/11/13,169.399994,94545900,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.74,13.82,Summer
9/12/13,168.949997,83209000,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,13.93,14.29,Summer
9/13/13,169.330002,72727800,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.27,14.16,Summer
9/16/13,170.309998,106299200,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.1,14.38,Summer
9/17/13,171.070007,82523300,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.44,14.53,Summer
9/18/13,173.050003,203460600,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.68,13.59,Summer
9/19/13,172.759995,146616900,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,13.02,13.16,Summer
9/20/13,170.720001,132867100,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,13.3,13.12,Summer
9/23/13,169.929993,104616500,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.04,14.31,Fall
9/24/13,169.529999,106333100,0,0,0,0,0,7.2,16848.748,Barack Obama,Democrat,14.17,14.08,Fall
